1,	Sydney,	Hotel Creek,	Standard,	1,12/6/2018,	19/6/2018,	1,	1,	AUD $ 125,	AUD $ 885
2,	Melbourne,	Hotel Sunshine, Double, 2, 12/6/2018,	19/6/2018,	2, 2, 	AUD $ 275,	AUD $ 1935
3,	Brisbane,	Hotel Hervey,	Deluxe,	3,	12/6/2018,	19/6/2018,	3,	3,	AUD $ 350,	AUD $ 2460
4,	Adelaide,	Hotel Cornice,	Super Deluxe,	4,	12/6/2018,	19/6/2018,	4,	4,	AUD $ 400,	AUD $ 2810
5,	London,	Hotel Creek,	Standard,	5,	12/6/2018,	19/6/2018,	1,	1,	AUD $ 125,	AUD $ 885
6,	New York,	Hotel Sunshine,	Double,	6,	12/6/2018,	19/6/2018,	2,	2,	AUD $ 275,	AUD $ 1935
7,	Los Angeles,	Hotel Hervey	,Deluxe,	7,	12/6/2018,	19/6/2018,	3,	3,	AUD $ 350,	AUD $ 2460
8,	Paris,	Hotel Cornice,	Super Deluxe,	8,	12/6/2018,19/6/2018,	4,	4,	AUD $ 400,	AUD $ 2810
9,	Sydney,	Hotel Creek,	Standard,	9,	12/6/2018,	19/6/2018,	1,	3,	AUD $ 125,	AUD $ 885
10,	Melbourne,	Hotel Hervey,	Double,	10,	12/6/2018,	19/6/2018,	2,	4,	AUD $ 250,	AUD $ 1760
